Frame Number,Time Stamp (ms),Buffer Index
979,32855,0
980,32889,0
981,32923,0
982,32956,0
983,32990,0
984,33023,0
985,33056,0
986,33090,0
987,33124,0
988,33157,0
989,33191,0
990,33225,0
991,33258,0
992,33292,0
993,33325,0
994,33360,0
995,33392,0
996,33425,0
997,33460,0
998,33493,0
999,33526,0
1000,33561,0
1001,33594,0
1002,33628,0
1003,33662,0
1004,33695,0
1005,33728,0
1006,33762,0
1007,33795,0
1008,33829,0
1009,33863,0
1010,33896,0
1011,33930,0
1012,33964,0
1013,33997,0
1014,34031,0
1015,34065,0
1016,34097,0
1017,34130,0
1018,34164,0
1019,34199,0
1020,34231,0
1021,34265,0
1022,34300,0
1023,34335,0
1024,34366,0
1025,34401,0
1026,34433,0
1027,34466,0
1028,34500,0
1029,34533,0
1030,34567,0
1031,34602,0
1032,34634,0
1033,34669,0
1034,34702,0
1035,34735,0
1036,34770,0
1037,34803,0
1038,34836,0
1039,34870,0
1040,34904,0
1041,34937,0
1042,34971,0
1043,35004,0
1044,35038,0
1045,35072,0
1046,35105,0
1047,35137,0
1048,35172,0
1049,35205,0
1050,35238,0
1051,35273,0
1052,35306,0
1053,35339,0
1054,35374,0
1055,35407,0
1056,35441,0
1057,35474,0
1058,35507,0
1059,35540,0
1060,35574,0
1061,35609,0
1062,35641,0
1063,35675,0
1064,35709,0
1065,35742,0
1066,35775,0
1067,35810,0
1068,35843,0
1069,35877,0
1070,35911,0
1071,35944,0
1072,35978,0
1073,36012,0
1074,36045,0
1075,36077,0
1076,36112,0
1077,36145,0
1078,36178,0
1079,36213,0
1080,36246,0
1081,36279,0
1082,36313,0
1083,36347,0
1084,36380,0
1085,36414,0
1086,36448,0
1087,36482,0
1088,36515,0
1089,36550,0
1090,36582,0
1091,36615,0
1092,36649,0
1093,36683,0
1094,36716,0
1095,36750,0
1096,36783,0
1097,36817,0
1098,36851,0
1099,36884,0
1100,36918,0
1101,36952,0
1102,36985,0
1103,37018,0
1104,37052,0
1105,37085,0
1106,37120,0
1107,37153,0
1108,37186,0
1109,37221,0
1110,37254,0
1111,37287,0
1112,37321,0
1113,37354,0
1114,37387,0
1115,37422,0
1116,37454,0
1117,37488,0
1118,37523,0
1119,37555,0
1120,37589,0
1121,37623,0
1122,37656,0
1123,37689,0
1124,37723,0
1125,37757,0
1126,37790,0
1127,37824,0
1128,37858,0
1129,37891,0
1130,37925,0
1131,37959,0
1132,37991,0
1133,38025,0
1134,38060,0
1135,38093,0
1136,38126,0
1137,38161,0
1138,38194,0
1139,38226,0
1140,38261,0
1141,38294,0
1142,38328,0
1143,38362,0
1144,38395,0
1145,38428,0
1146,38463,0
1147,38496,0
1148,38529,0
1149,38563,0
1150,38597,0
1151,38630,0
1152,38664,0
1153,38697,0
1154,38730,0
1155,38764,0
1156,38798,0
1157,38831,0
1158,38865,0
1159,38899,0
1160,38932,0
1161,38966,0
1162,38999,0
1163,39032,0
1164,39066,0
1165,39100,0
1166,39133,0
1167,39167,0
1168,39201,0
1169,39234,0
1170,39268,0
1171,39302,0
1172,39335,0
1173,39369,0
1174,39403,0
1175,39436,0
1176,39470,0
1177,39504,0
1178,39536,0
1179,39570,0
1180,39603,0
1181,39636,0
1182,39671,0
1183,39704,0
1184,39738,0
1185,39772,0
1186,39805,0
1187,39838,0
1188,39873,0
1189,39905,0
1190,39939,0
1191,39974,0
1192,40006,0
1193,40040,0
1194,40074,0
1195,40107,0
1196,40140,0
1197,40174,0
1198,40208,0
1199,40241,0
1200,40275,0
1201,40309,0
1202,40342,0
1203,40376,0
1204,40410,0
1205,40443,0
1206,40477,0
1207,40511,0
1208,40543,0
1209,40577,0
1210,40611,0
1211,40644,0
1212,40678,0
1213,40712,0
1214,40745,0
1215,40779,0
1216,40813,0
1217,40846,0
1218,40880,0
1219,40913,0
1220,40947,0
1221,40980,0
1222,41014,0
1223,41047,0
1224,41081,0
1225,41114,0
1226,41148,0
1227,41182,0
1228,41215,0
1229,41250,0
1230,41281,0
1231,41315,0
1232,41350,0
1233,41383,0
1234,41416,0
1235,41451,0
1236,41483,0
1237,41518,0
1238,41551,0
1239,41584,0
1240,41618,0
1241,41652,0
1242,41685,0
1243,41720,0
1244,41752,0
1245,41786,0
1246,41820,0
1247,41853,0
1248,41887,0
1249,41921,0
1250,41953,0
1251,41987,0
1252,42021,0
1253,42054,0
1254,42087,0
1255,42122,0
1256,42155,0
1257,42189,0
1258,42223,0
1259,42256,0
1260,42289,0
1261,42323,0
1262,42356,0
1263,42389,0
1264,42424,0
1265,42457,0
1266,42490,0
1267,42525,0
1268,42558,0
1269,42591,0
1270,42625,0
1271,42660,0
1272,42692,0
1273,42726,0
1274,42760,0
1275,42793,0
1276,42827,0
1277,42861,0
1278,42893,0
1279,42926,0
1280,42961,0
1281,42995,0
1282,43028,0
1283,43063,0
1284,43095,0
1285,43128,0
1286,43163,0
1287,43195,0
1288,43229,0
1289,43263,0
1290,43297,0
1291,43330,0
1292,43364,0
1293,43397,0
1294,43431,0
1295,43464,0
1296,43499,0
1297,43532,0
1298,43565,0
1299,43600,0
1300,43633,0
1301,43665,0
1302,43700,0
1303,43733,0
1304,43766,0
1305,43801,0
1306,43834,0
1307,43869,0
1308,43901,0
1309,43934,0
1310,43969,0
1311,44002,0
1312,44035,0
1313,44069,0
1314,44103,0
1315,44135,0
1316,44170,0
1317,44203,0
1318,44236,0
1319,44271,0
1320,44304,0
1321,44337,0
1322,44372,0
1323,44404,0
1324,44438,0
1325,44473,0
1326,44506,0
1327,44538,0
1328,44573,0
1329,44606,0
1330,44639,0
1331,44673,0
1332,44707,0
1333,44740,0
1334,44774,0
1335,44808,0
1336,44840,0
1337,44874,0
1338,44909,0
1339,44941,0
1340,44975,0
1341,45009,0
1342,45043,0
1343,45075,0
1344,45110,0
1345,45143,0
1346,45176,0
1347,45211,0
1348,45243,0
1349,45278,0
1350,45312,0
1351,45345,0
1352,45378,0
1353,45413,0
1354,45445,0
1355,45479,0
1356,45513,0
1357,45546,0
1358,45580,0
1359,45614,0
1360,45647,0
1361,45680,0
1362,45714,0
1363,45748,0
1364,45781,0
1365,45815,0
1366,45849,0
1367,45882,0
1368,45916,0
1369,45950,0
1370,45983,0
1371,46016,0
1372,46050,0
1373,46083,0
1374,46117,0
1375,46151,0
1376,46184,0
1377,46218,0
1378,46252,0
1379,46284,0
1380,46318,0
1381,46352,0
1382,46385,0
1383,46419,0
1384,46452,0
1385,46486,0
1386,46520,0
1387,46553,0
1388,46586,0
1389,46621,0
1390,46654,0
1391,46687,0
1392,46722,0
1393,46755,0
1394,46788,0
1395,46822,0
1396,46855,0
1397,46888,0
1398,46923,0
1399,46956,0
1400,46990,0
1401,47023,0
1402,47057,0
1403,47090,0
1404,47124,0
1405,47158,0
1406,47191,0
1407,47224,0
1408,47258,0
1409,47292,0
1410,47325,0
1411,47359,0
1412,47393,0
1413,47426,0
1414,47461,0
1415,47493,0
1416,47527,0
1417,47562,0
1418,47594,0
1419,47627,0
1420,47661,0
1421,47694,0
1422,47728,0
1423,47763,0
1424,47795,0
1425,47829,0
1426,47863,0
1427,47896,0
1428,47930,0
1429,47963,0
1430,47997,0
